Date,Injury,Firstname,Lastname
"Jul 04, 2017",Signed as an unrestricted free agent by the New York Rangers to a one-year contract.,DAVID,DESHARNAIS
"Feb 28, 2017",Acquired from the Montreal Canadiens.,DAVID,DESHARNAIS
"Jan 31, 2017",Missed 24 games (knee injury).,DAVID,DESHARNAIS
"Dec 07, 2016","Knee injury, injured reserve.",DAVID,DESHARNAIS
"Mar 23, 2016",Missed 17 games (lower body injury).,DAVID,DESHARNAIS
"Feb 19, 2016","Lower body injury, injured reserve.",DAVID,DESHARNAIS
"Feb 16, 2016","Lower body injury, day-to-day.",DAVID,DESHARNAIS
"May 06, 2015",Missed the last playoff game (flu).,DAVID,DESHARNAIS
"May 03, 2015","Flu, day-to-day.",DAVID,DESHARNAIS
"Jan 16, 2014",Missed 1 game (flu).,DAVID,DESHARNAIS
"Jan 14, 2014","Flu, day-to-day.",DAVID,DESHARNAIS
"Mar 15, 2013",Signed by the Montreal Canadiens to a four-year contract extension.,DAVID,DESHARNAIS
"Nov 02, 2012",Signed with Fribourg-Gotteron (Switzerland).,DAVID,DESHARNAIS
"Mar 12, 2012",Missed 1 game (lower body injury).,DAVID,DESHARNAIS
"Mar 10, 2012","Lower body injury, day-to-day.",DAVID,DESHARNAIS
"Jun 20, 2011",Re-signed by the Montreal Canadiens to a two-year contract.,DAVID,DESHARNAIS
"Apr 27, 2011",Missed the last 2 playoff games (sprained left knee).,DAVID,DESHARNAIS
"Apr 26, 2011","Sprained left knee, day-to-day.",DAVID,DESHARNAIS
"Dec 31, 2010",Recalled from Hamilton (AHL).,DAVID,DESHARNAIS
"Dec 12, 2010",Assigned to Hamilton (AHL).,DAVID,DESHARNAIS
"Dec 11, 2010",Recalled from Hamilton (AHL).,DAVID,DESHARNAIS
"Sep 27, 2010",Assigned to Hamilton (AHL).,DAVID,DESHARNAIS
"Jul 15, 2010",Re-signed as a restricted free agent by the Montreal Canadiens to a one-year contract.,DAVID,DESHARNAIS
"Feb 14, 2010",Assigned to Hamilton (AHL).,DAVID,DESHARNAIS
"Feb 05, 2010",Recalled from Hamilton (AHL).,DAVID,DESHARNAIS
"Nov 26, 2009",Assigned to Hamilton (AHL).,DAVID,DESHARNAIS
"Nov 25, 2009",Recalled from Hamilton (AHL).,DAVID,DESHARNAIS
"Sep 21, 2009",Assigned to Hamilton (AHL).,DAVID,DESHARNAIS
"Nov 05, 2008",Signed as a free agent by the Montreal Canadiens to a two-year two-way contract.,DAVID,DESHARNAIS
"Sep 29, 2008",Assigned to Hamilton (AHL).,DAVID,DESHARNAIS
"Sep 18, 2008",Invited to training camp by the Montreal Canadiens.,DAVID,DESHARNAIS
"Oct 03, 2007",Re-assigned to Cincinnati (ECHL).,DAVID,DESHARNAIS
"Sep 24, 2007",Assigned to Hamilton (AHL).,DAVID,DESHARNAIS
"Sep 12, 2007",Invited by the Montreal Canadiens to training camp.,DAVID,DESHARNAIS
"Mar 31, 2007",Signed by the Bridgeport Sound Tigers (AHL) to an amateur tryout contract.,DAVID,DESHARNAIS
